Record,Legs,Backrest,Arms,FlatSurface,Round,Class,,,,,,,,
17,4,no,no,yes,yes,table,,,,,,,,
111,4,no,yes,no,yes,Chair,,,,,,,,
147,3,no,no,yes,no,table,,Table,with,3,"legs,",maybe,,
149,4,yes,no,no,yes,Chair,,,,,,,,
198,3,no,yes,yes,yes,Chair,,Possibly,a,chair?,It,has,arms,
226,0,no,no,yes,no,table,,Table,with,3,"legs,",maybe,,
228,4,yes,no,yes,no,Chair,,Chair?,,,,,,
286,4,no,no,,no,table,,,,,,,,
286,4,no,no,,no,table,,,,,,,,
293,4,no,yes,no,no,Chair,,,,,,,,
303,1,no,yes,no,no,Chair,,Sort,of,piano,stool,type,thing,
324,4,yes,no,no,yes,Chair,,Bar,stool,,,,,
332,4,no,yes,no,no,,,,,,,,,
415,4,yes,yes,no,yes,Chair,,Typist's,chair,,,,,
417,4,yes,yes,no,no,Chair,,,,,,,,
457,4,no,no,yes,yes,unknown,,Unknown,,,,,,
486,0,yes,yes,yes,yes,Chair,,Another,bench,,,,,
495,4,yes,no,no,no,Chair,,,,,,,,
537,2,yes,yes,yes,no,Chair,,Another,bench,,,,,
541,4,yes,no,yes,,Chair,,,,,,,,
580,1,no,no,yes,no,unknown,,Unknown,,,,,,
593,4,no,no,yes,no,unknown,,Unknown,,,,,,
625,4,yes,no,no,yes,Chair,,,,,,,,
655,4,yes,yes,no,yes,Chair,,,,,,,,
665,4,no,no,yes,yes,table,,,,,,,,
667,4,yes,yes,yes,no,Chair,,Bench,with,4,"legs,",back,and,arms
675,4,yes,yes,yes,no,Chair,,Bench,with,4,"legs,",back,and,arms
681,4,no,no,yes,no,table,,,,,,,,
713,4,yes,yes,no,yes,Chair,,,,,,,,
774,,no,no,yes,yes,table,,,,,,,,
776,3,no,no,yes,yes,table,,Round,table,with,3,legs,,
781,1,no,no,yes,no,Chair,,Bench,of,some,sort,,,
783,1,no,yes,no,yes,Chair,,Round,stool,,,,,
816,4,yes,no,yes,no,Chair,,Bench,with,4,legs,and,back,
827,1,yes,no,no,no,Chair,,Square,bar,stool,,,,
892,1,yes,yes,no,no,Chair,,Dentist's,chair,,,,,
910,4,no,no,no,yes,table,,Table?,,,,,,
913,4,no,yes,no,no,Chair,,,,,,,,
935,0,no,no,yes,no,table,,Table,with,3,"legs,",maybe,,
974,3,yes,no,yes,no,Chair,,Bench,,,,,,
996,2,yes,yes,yes,no,Unknown,,Unknown,,,,,,
998,4,yes,yes,no,no,Chair,,,,,,,,
