Record,Legs,Backrest,Arms,FlatSurface,Round,Class
827,1,yes,no,no,no,Chair
495,4,yes,no,no,no,Chair
303,1,no,yes,no,no,Chair
293,4,no,yes,no,no,Chair
913,4,no,yes,no,no,Chair
892,1,yes,yes,no,no,Chair
417,4,yes,yes,no,no,Chair
998,4,yes,yes,no,no,Chair
781,1,no,no,yes,no,Chair
974,3,yes,no,yes,no,Chair
228,4,yes,no,yes,no,Chair
816,4,yes,no,yes,no,Chair
537,2,yes,yes,yes,no,Chair
667,4,yes,yes,yes,no,Chair
675,4,yes,yes,yes,no,Chair
149,4,yes,no,no,yes,Chair
324,4,yes,no,no,yes,Chair
625,4,yes,no,no,yes,Chair
783,1,no,yes,no,yes,Chair
111,4,no,yes,no,yes,Chair
415,4,yes,yes,no,yes,Chair
655,4,yes,yes,no,yes,Chair
713,4,yes,yes,no,yes,Chair
198,3,no,yes,yes,yes,Chair
486,0,yes,yes,yes,yes,Chair
226,0,no,no,yes,no,table
935,0,no,no,yes,no,table
147,3,no,no,yes,no,table
681,4,no,no,yes,no,table
910,4,no,no,no,yes,table
776,3,no,no,yes,yes,table
17,4,no,no,yes,yes,table
665,4,no,no,yes,yes,table
