Record,Legs,Backrest,Arms,FlatSurface,Round,Class
827,one,yes,no,no,no,Chair
495,fours,yes,no,no,no,Chair
303,one,no,yes,no,no,Chair
293,fours,no,yes,no,no,Chair
913,fours,no,yes,no,no,Chair
892,one,yes,yes,no,no,Chair
417,fours,yes,yes,no,no,Chair
998,fours,yes,yes,no,no,Chair
781,one,no,no,yes,no,Chair
974,three,yes,no,yes,no,Chair
228,fours,yes,no,yes,no,Chair
816,fours,yes,no,yes,no,Chair
537,two,yes,yes,yes,no,Chair
667,fours,yes,yes,yes,no,Chair
675,fours,yes,yes,yes,no,Chair
149,fours,yes,no,no,yes,Chair
324,fours,yes,no,no,yes,Chair
625,fours,yes,no,no,yes,Chair
783,one,no,yes,no,yes,Chair
111,fours,no,yes,no,yes,Chair
415,fours,yes,yes,no,yes,Chair
655,fours,yes,yes,no,yes,Chair
713,fours,yes,yes,no,yes,Chair
198,three,no,yes,yes,yes,Chair
486,zero,yes,yes,yes,yes,Chair
226,zero,no,no,yes,no,table
935,zero,no,no,yes,no,table
147,three,no,no,yes,no,table
681,fours,no,no,yes,no,table
910,fours,no,no,no,yes,table
776,three,no,no,yes,yes,table
17,fours,no,no,yes,yes,table
665,fours,no,no,yes,yes,table
